origin,destination,estimate
Florida,Connecticut,7435.0
Georgia,Connecticut,2514.0
Hawaii,Connecticut,725.0
Idaho,Connecticut,0.0
Illinois,Connecticut,1522.0
Indiana,Connecticut,446.0
Iowa,Connecticut,0.0
Kansas,Connecticut,363.0
Kentucky,Connecticut,397.0
Louisiana,Connecticut,357.0
Maine,Connecticut,601.0
Maryland,Connecticut,1412.0
Massachusetts,Connecticut,13428.0
Michigan,Connecticut,975.0
Minnesota,Connecticut,681.0
Mississippi,Connecticut,364.0
Missouri,Connecticut,110.0
Montana,Connecticut,101.0
Nebraska,Connecticut,252.0
Nevada,Connecticut,781.0
New Hampshire,Connecticut,878.0
New Jersey,Connecticut,5379.0
New Mexico,Connecticut,53.0
New York,Connecticut,28181.0
North Carolina,Connecticut,1220.0
North Dakota,Connecticut,0.0
Ohio,Connecticut,414.0
Oklahoma,Connecticut,170.0
Oregon,Connecticut,0.0
Pennsylvania,Connecticut,4858.0
Rhode Island,Connecticut,4299.0
South Carolina,Connecticut,1146.0
South Dakota,Connecticut,0.0
Tennessee,Connecticut,2508.0
Texas,Connecticut,2678.0
Utah,Connecticut,84.0
Vermont,Connecticut,557.0
Virginia,Connecticut,1947.0
Washington,Connecticut,654.0
West Virginia,Connecticut,0.0
Wisconsin,Connecticut,42.0
Wyoming,Connecticut,0.0
Puerto Rico,Connecticut,486.0
U.S. Island Area3,Connecticut,93.0
Foreign Country,Connecticut,27029.0
Alabama,Delaware,12.0
Alaska,Delaware,59.0
Arizona,Delaware,476.0
Arkansas,Delaware,372.0
California,Delaware,516.0
Colorado,Delaware,212.0
Connecticut,Delaware,369.0
District of Columbia,Delaware,430.0
Florida,Delaware,1763.0
Georgia,Delaware,249.0
Hawaii,Delaware,0.0
Idaho,Delaware,33.0
Illinois,Delaware,193.0
Indiana,Delaware,0.0
Iowa,Delaware,212.0
Kansas,Delaware,0.0
Kentucky,Delaware,0.0
Louisiana,Delaware,0.0
Maine,Delaware,174.0
Maryland,Delaware,7829.0
Massachusetts,Delaware,465.0
Michigan,Delaware,82.0
Minnesota,Delaware,180.0
Mississippi,Delaware,70.0
Missouri,Delaware,105.0
Montana,Delaware,235.0
Nebraska,Delaware,0.0
Nevada,Delaware,118.0
New Hampshire,Delaware,0.0
New Jersey,Delaware,4041.0
New Mexico,Delaware,214.0
New York,Delaware,2552.0
North Carolina,Delaware,1563.0
North Dakota,Delaware,0.0
Ohio,Delaware,0.0
Oklahoma,Delaware,0.0
